experience,age,governorate,disability,education,gender,clusters,nodes,durations
1,20,zarqa,no_disability,vocational_training,male,1,10,5.1
0,20,amman,no_disability,secondary_or_below,male,1,8,20.233334
1,20,irbid,no_disability,secondary_or_below,male,1,4,3.0
0,20,amman,no_disability,secondary_or_below,male,1,8,11.166667
0,20,irbid,no_disability,secondary_or_below,male,1,0,10.314388
0,20,irbid,no_disability,secondary_or_below,male,1,0,9.719857
0,20,irbid,no_disability,secondary_or_below,male,1,0,2.0333333
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,9.480989
5,20,amman,no_disability,secondary_or_below,male,0,20,4.0666666
0,20,amman,no_disability,vocational_training,male,1,8,9.313346
0,20,amman,no_disability,secondary_or_below,male,1,8,4.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,20.3
0,20,amman,no_disability,secondary_or_below,male,1,8,2.9863281
0,20,irbid,no_disability,secondary_or_below,male,1,0,11.133333
0,20,jarash,no_disability,secondary_or_below,male,1,0,13.166667
5,30,irbid,no_disability,bachelor_or_above,male,1,13,12.2
0,20,amman,no_disability,secondary_or_below,male,1,8,8.980664
0,20,amman,no_disability,secondary_or_below,male,1,8,6.0333333
0,20,irbid,no_disability,secondary_or_below,male,1,0,17.054037
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0666666
0,20,amman,no_disability,secondary_or_below,male,1,8,11.233334
0,20,balqa,no_disability,secondary_or_below,male,1,0,10.133333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,2.0666666
0,20,maadaba,no_disability,secondary_or_below,male,1,2,13.017578
0,20,zarqa,no_disability,secondary_or_below,male,1,5,14.2
0,20,tafileh,no_disability,secondary_or_below,male,1,2,22.333334
0,20,zarqa,no_disability,vocational_training,male,1,5,3.5513673
0,20,zarqa,no_disability,vocational_training,male,1,5,12.166667
1,20,al_kirk,no_disability,secondary_or_below,male,1,12,13.2
1,20,al_kirk,no_disability,secondary_or_below,male,1,12,3.0
0,20,amman,no_disability,secondary_or_below,male,1,8,16.233334
0,20,amman,no_disability,vocational_training,male,1,8,6.6501303
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,4.0797524
1,20,amman,no_disability,vocational_training,male,1,12,3.0333333
0,20,irbid,no_disability,secondary_or_below,male,1,0,4.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,17.266666
0,20,amman,no_disability,vocational_training,male,1,8,3.3515625
0,20,zarqa,no_disability,vocational_training,male,1,5,15.316862
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,21.785612
1,20,maadaba,no_disability,secondary_or_below,male,1,10,12.2
0,20,zarqa,no_disability,secondary_or_below,male,1,5,32.5
0,20,amman,no_disability,secondary_or_below,male,1,8,12.45013
0,20,irbid,no_disability,secondary_or_below,male,1,0,16.148893
0,20,zarqa,no_disability,vocational_training,male,1,5,7.883138
0,20,irbid,no_disability,secondary_or_below,male,1,0,15.047331
0,20,maan,no_disability,secondary_or_below,male,1,2,5.751042
0,20,zarqa,no_disability,secondary_or_below,male,1,5,8.066667
0,20,irbid,no_disability,secondary_or_below,male,1,0,4.048763
0,20,amman,no_disability,secondary_or_below,male,1,8,23.4
0,20,amman,no_disability,secondary_or_below,male,1,8,16.266666
0,20,amman,no_disability,secondary_or_below,male,1,8,6.4513674
0,20,irbid,no_disability,secondary_or_below,male,1,0,3.9811199
0,20,al_kirk,no_disability,secondary_or_below,male,1,3,6.1
0,20,amman,no_disability,secondary_or_below,male,1,8,13.2
1,20,amman,no_disability,secondary_or_below,male,1,12,4.0666666
1,20,amman,no_disability,secondary_or_below,male,1,12,2.0333333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,9.612761
0,20,amman,no_disability,secondary_or_below,male,1,8,6.1
0,20,irbid,no_disability,vocational_training,male,1,0,2.2529948
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
