experience,age,governorate,disability,education,gender,nodes,clusters
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,zarqa,no_disability,secondary_or_below,female,Node22,Cluster2
0,20,zarqa,no_disability,bachelor_or_above,female,Node22,Cluster2
0,20,zarqa,no_disability,bachelor_or_above,female,Node22,Cluster2
1,20,tafileh,no_disability,secondary_or_below,female,Node29,Cluster1
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,ajloun,no_disability,secondary_or_below,female,Node13,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,al_aqaba,no_disability,secondary_or_below,female,Node13,Cluster2
0,20,maadaba,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,zarqa,no_disability,secondary_or_below,female,Node22,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,balqa,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,zarqa,no_disability,secondary_or_below,female,Node22,Cluster2
0,20,zarqa,no_disability,secondary_or_below,female,Node22,Cluster2
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,tafileh,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,tafileh,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,tafileh,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
0,20,zarqa,no_disability,secondary_or_below,female,Node22,Cluster2
0,20,tafileh,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,tafileh,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,maadaba,no_disability,secondary_or_below,female,Node25,Cluster2
1,20,maadaba,no_disability,secondary_or_below,female,Node29,Cluster1
1,20,maadaba,no_disability,secondary_or_below,female,Node29,Cluster1
1,20,amman,no_disability,vocational_training,female,Node29,Cluster1
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,amman,no_disability,secondary_or_below,female,Node26,Cluster2
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,al_kirk,no_disability,secondary_or_below,female,Node25,Cluster2
0,20,irbid,no_disability,secondary_or_below,female,Node12,Cluster2
1,20,irbid,no_disability,secondary_or_below,female,Node29,Cluster1
0,20,jarash,no_disability,secondary_or_below,female,Node12,Cluster2
1,20,ajloun,no_disability,secondary_or_below,female,Node29,Cluster1
0,20,amman,no_disability,bachelor_or_above,female,Node26,Cluster2
